REPO,ASID,BIBID
5,1,10693144
5,2,4492426
5,8,4488498
5,9,4492411
5,10,4492430
5,11,4492431
5,12,4492432
5,13,4492433
5,14,4492436
5,15,4492437
5,16,4492438
5,17,4492439
5,18,4492440
5,19,4492441
5,20,4492412
5,21,4492442
5,22,4492443
5,23,4492444
5,24,4492445
5,25,4492446
5,26,4492447
5,27,4492413
5,28,4492414
5,29,4492416
5,31,4492418
5,32,4492427
5,33,4492428
5,34,4492448
5,35,4492449
5,36,4492460
5,37,4492461
5,39,4492465
5,40,4492466
5,41,4492467
5,42,4492468
5,43,4492470
5,44,4492471
5,46,4492450
5,47,4492473
5,48,4492474
5,49,4492475
5,50,4492476
5,51,4492477
5,52,4492478
5,53,4492479
5,54,4492480
5,55,4492481
5,56,4492482
5,57,4492451
5,58,4492483
5,59,4492484
5,60,4492485
5,61,4492486
5,62,4492487
5,63,4492488
5,64,4492489
5,65,4492490
5,66,4492491
5,67,4492492
5,68,4492452
5,69,4492493
5,71,4492495
5,72,4492497
5,73,4492454
5,74,4492455
5,75,4492456
5,76,4492457
5,77,4492458
5,78,4492498
5,79,4492499
5,80,4492508
5,81,4492509
5,82,4492510
5,83,4492511
5,84,4492512
5,85,4492513
5,86,4492514
5,87,4492515
5,88,4492516
5,89,4492517
5,90,4492500
5,91,4492518
5,92,4492519
5,93,4492520
5,94,4492521
5,95,4492522
5,96,4492523
5,97,4492524
5,98,4492525
5,99,4492526
5,100,4492527
5,101,4492501
5,102,4492528
5,103,4492529
5,104,4492530
5,105,4492531
5,106,4492532
5,107,4492533
5,108,4492534
5,109,4492535
5,110,4492536
5,111,4492537
5,112,4492502
5,114,4492540
5,115,4492541
5,119,4492546
5,121,4492548
5,123,4492503
5,125,4492552
5,126,4492554
5,127,4492555
5,128,4492556
5,129,4492557
5,130,4492559
5,131,4492560
5,132,4492561
5,133,4492562
5,134,4492504
5,135,4492505
5,136,4492506
5,137,4492507
5,202,4492563
5,203,4492564
5,204,4492576
5,205,4492577
5,206,4492579
5,207,4492581
5,208,4492582
5,209,4492586
5,210,4492588
