bibid|container_id|href|title|text
4078556||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
9159216||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4078230||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4492581||https://library.columbia.edu/locations/burke.html|https://library.columbia.edu/locations/burke.html|
4077922||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
6954124||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4077936||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
10573862||https://library.columbia.edu/locations/avery.html|https://library.columbia.edu/locations/avery.html|
13212567||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
13212567||http://findingaids.cul.columbia.edu/ead/nnc-ua/ldpd_4080177||Central Files, 1890-1984 [Bulk Dates: 1890-1983] (UA#0001)
13212567||http://findingaids.cul.columbia.edu/ead/nnc-ua/ldpd_4202865||Historical Biographical Files [18--?] – 2012 (UA#0004)
4078393||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
14336462||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
14336462||http://findingaids.cul.columbia.edu/ead/nnc-rb/ldpd_14336459||American Poets' Corner.
6910982||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4079099||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
5748444||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
11264277||https://library.columbia.edu/locations/avery.html|https://library.columbia.edu/locations/avery.html|
4492542||https://library.columbia.edu/locations/burke.html|https://library.columbia.edu/locations/burke.html|
4079072||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
5747944||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
11380697||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4077739||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4079714||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
11002638||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
6460813||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
10318283||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
10318283|aspace_82235fcb869bba8426d1f3659a245c6d|https://dx.doi.org/10.7916/d8-3kxr-yp35|Film Weekend, Kirk Douglas, 1975|
8528479||https://library.columbia.edu/locations/burke.html|https://library.columbia.edu/locations/burke.html|
4079700||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4079066||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4078378||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4078378||http://www.columbia.edu/cu/libraries/inside/projects/findingaids/scans/pdfs/36_PL-Q_33.pdf||Legacy Finding aid
4492556||https://library.columbia.edu/locations/burke.html|https://library.columbia.edu/locations/burke.html|
12444690||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4078350||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
6948294||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
6984852||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
6984852||https://hellenic.columbia.edu/projects/david-e-moore-collection||Photographs.
6910799||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4077705||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4078436||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4079728||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4077711||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4078422||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
13527744||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
13527744||https://clio.columbia.edu/catalog/4078603||Finding Aid
13527744|| https://clio.columbia.edu/catalog/4073995||Reminiscences of Li-fu Ch'en, 陳立夫口述回憶錄
13527744||https://oac.cdlib.org/findaid/ark:/13030/kt7s2034wz/entire_text/||Finding aid.
10535610||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
12757898||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
12757898||https://findingaids.library.columbia.edu/ead/nnc-ua/ldpd_11818201||Columbia University Office of Art Properties Records, 1960-2012 (UA#0197)
4078344||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4078813||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
12264294||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
12918943||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
12200706||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
11078341||https://library.columbia.edu/locations/avery.html|https://library.columbia.edu/locations/avery.html|
11078341||http://findingaids.cul.columbia.edu/ead/nnc-a/ldpd_11078341/dsc/1||Series I: Photographs
11078341||http://findingaids.cul.columbia.edu/ead/nnc-a/ldpd_11078341/dsc/2||Series II: Printed Material
11078341||http://findingaids.cul.columbia.edu/ead/nnc-a/ldpd_11078341/dsc/3||Series III: Stereoscopic Views
11078341||http://findingaids.cul.columbia.edu/ead/nnc-a/ldpd_11078341/dsc/4||Series IV: Other Media
11078341||http://www.columbia.edu/cu/lweb/services/preservation/publicationsPolicy.html||Columbia University Libraries' publication policy
4078807||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4078191||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
7684435||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
7684435|aspace_ea89f7e5c8f2ee43d45ee145fe90a9be|https://wayback.archive-it.org/2766/*/http://www.icwa.org/||Link to Archived Web Site
4078185||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4079516||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4526597||https://library.columbia.edu/locations/burke.html|https://library.columbia.edu/locations/burke.html|
4078608||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
3460571||https://library.columbia.edu/locations/avery.html|https://library.columbia.edu/locations/avery.html|
4079270||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
3460565||https://library.columbia.edu/locations/avery.html|https://library.columbia.edu/locations/avery.html|
10811677||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4079264||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4079264||http://www.columbia.edu/cu/libraries/inside/projects/findingaids/scans/pdfs/ldpd_rbml_4079264_extra.pdf||here
4079502||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
8187509||https://library.columbia.edu/locations/avery.html|https://library.columbia.edu/locations/avery.html|
4078634||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4077507||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
11150354||https://library.columbia.edu/locations/burke.html|https://library.columbia.edu/locations/burke.html|
4078152||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4078146||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
3460559||https://library.columbia.edu/locations/avery.html|https://library.columbia.edu/locations/avery.html|
4079258||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
12360019||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
11503289||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
14364697||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4078620||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4077513||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4079259||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4078147||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
3460558||https://library.columbia.edu/locations/avery.html|https://library.columbia.edu/locations/avery.html|
4077512||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4078621||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
12915241||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4077506||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4078635||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4078153||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4079265||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
3460564||https://library.columbia.edu/locations/avery.html|https://library.columbia.edu/locations/avery.html|
12919447||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
12919447||https://clio.columbia.edu/archives/12954061||Andrew Alpern collection of Land Deeds
12919447||https://library.osu.edu/finding-aids/ead/CGA/SPEC.CGA.AJA.xml||Andrew Alpern collection of drawing instruments, 1700-2004
12919447||http://hdl.library.upenn.edu/1017/d/ead/upenn_rbml_PUSpMsColl1025||Gotham Book Mart records:
12919447||http://hdl.library.upenn.edu/1017/d/ead/upenn_rbml_PUSpMsColl1185||Gotham Book Mart Collection of Edward Gorey:
12919447||https://clio.columbia.edu/catalog?f%5Bauthor_facet%5D%5B%5D=Edward+Gorey+Collection+of+Andrew+Alpern&page=2&source=catalog||"Edward Gorey collection of Andrew Alpern."
12919447|aspace_1bbff8dae8fd87680eb1374cf5a654bb|https://clio.columbia.edu/catalog/9022153||Three books from the Fantod Press : The Chinese obelisks, The osbick bird, Donald has a difficulty
12919447|aspace_1bd6e8f3713a4220e0c502f0b589ff92|https://clio.columbia.edu/catalog/9021952||Three books from the Fantod Press : The deranged cousins, The eleventh episode, [The untitled book]
12919447|aspace_6b57f1277a1e3e6b4f974c8de0e10cf9|https://clio.columbia.edu/catalog/9021934||Fantod IV : three books from the Fantod Press
12919447|aspace_4329f0200363132ea24cf17cb351e13b|https://clio.columbia.edu/catalog/9022166||Two novels from the Fantod Press : The grand passion, The doleful domesticity
12919447|aspace_c5986e23f07fe4423e10e7c0e9dcd486|https://clio.columbia.edu/catalog/8603267||The sopping Thursday
12919447|aspace_0f17b039dada7b6715bd599e731f8762|https://clio.columbia.edu/catalog/8602946||The shrinking of Treehorn
12919447|aspace_215b718d5aa748d551f99fa8398232cd|https://clio.columbia.edu/catalog/283557||Fonthill ; a comedy
